#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.556   -14.606  0.000  0.000  0.000  0.002  0.028  0.044  0.028  0.446  0.311  0.859
   0.565   -14.606  0.000  0.000  0.000  0.002  0.026  0.040  0.030  0.447  0.313  0.859
   0.574   -14.606  0.000  0.000  0.000  0.002  0.026  0.038  0.030  0.449  0.314  0.859
   0.583   -14.606  0.000  0.000  0.000  0.002  0.024  0.036  0.030  0.451  0.315  0.859
   0.592   -14.606  0.000  0.000  0.000  0.002  0.022  0.034  0.032  0.453  0.317  0.859
   0.601   -14.606  0.000  0.000  0.000  0.002  0.021  0.032  0.032  0.454  0.319  0.859
   0.610   -14.606  0.000  0.000  0.000  0.002  0.020  0.030  0.032  0.455  0.320  0.859
   0.619   -14.606  0.000  0.000  0.000  0.002  0.018  0.028  0.032  0.457  0.321  0.859
   0.628   -14.606  0.000  0.000  0.000  0.002  0.018  0.026  0.034  0.458  0.323  0.859
   0.637   -14.606  0.000  0.000  0.000  0.002  0.016  0.024  0.034  0.459  0.324  0.859
   0.646   -14.606  0.000  0.000  0.000  0.002  0.015  0.023  0.034  0.461  0.325  0.859
   0.655   -14.606  0.000  0.000  0.000  0.002  0.014  0.022  0.034  0.461  0.326  0.859
   0.664   -14.606  0.000  0.000  0.000  0.002  0.012  0.020  0.036  0.463  0.327  0.859
   0.673   -14.606  0.000  0.000  0.000  0.002  0.012  0.018  0.036  0.463  0.329  0.859
   0.682   -14.606  0.000  0.000  0.000  0.002  0.010  0.016  0.036  0.465  0.329  0.859
   0.691   -14.607  0.000  0.000  0.000  0.002  0.010  0.016  0.036  0.465  0.331  0.859
   0.700   -14.607  0.000  0.000  0.000  0.002  0.010  0.014  0.036  0.467  0.331  0.859
   0.709   -14.607  0.000  0.000  0.000  0.002  0.008  0.012  0.038  0.467  0.333  0.860
   0.718   -14.607  0.000  0.000  0.000  0.002  0.008  0.012  0.038  0.469  0.333  0.860
   0.727   -14.607  0.000  0.000  0.000  0.002  0.006  0.010  0.038  0.469  0.334  0.860
   0.736   -14.607  0.000  0.000  0.000  0.002  0.006  0.010  0.038  0.470  0.335  0.860
   0.745   -14.607  0.000  0.000  0.000  0.002  0.006  0.008  0.038  0.471  0.336  0.860
   0.754   -14.607  0.000  0.000  0.000  0.002  0.004  0.008  0.039  0.471  0.337  0.860
   0.763   -14.607  0.000  0.000  0.000  0.002  0.004  0.006  0.040  0.471  0.337  0.860
   0.772   -14.607  0.000  0.000  0.000  0.002  0.004  0.006  0.040  0.473  0.338  0.860
   0.781   -14.607  0.000  0.000  0.000  0.002  0.002  0.004  0.040  0.473  0.339  0.860
   0.790   -14.607  0.000  0.000  0.000  0.002  0.002  0.004  0.040  0.473  0.339  0.860
   0.799   -14.607  0.000  0.000  0.000  0.002  0.002  0.004  0.040  0.473  0.339  0.860
   0.808   -14.607  0.000  0.000  0.000  0.002  0.002  0.002  0.040  0.474  0.340  0.860
   0.817   -14.607  0.000  0.000  0.000  0.002  0.002  0.002  0.040  0.475  0.340  0.860
   0.826   -14.607  0.000  0.000  0.000  0.002  0.002  0.002  0.040  0.475  0.341  0.860
   0.835   -14.607  0.000  0.000  0.000  0.002  0.000  0.002  0.040  0.475  0.341  0.860
   0.843   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.041  0.475  0.341  0.860
   0.852   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.860
   0.861   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.860
   0.870   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.860
   0.879   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.342  0.860
   0.888   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.476  0.342  0.860
   0.888   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.476  0.342  0.860
   0.899   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.342  0.861
   0.909   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.861
   0.919   -14.607  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.861
   0.930   -14.606  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.861
   0.940   -14.606  0.000  0.000  0.000  0.002  0.000  0.000  0.042  0.475  0.341  0.861
   0.950   -14.606  0.000  0.000  0.000  0.002  0.000  0.000  0.044  0.475  0.341  0.861
   0.961   -14.605  0.000  0.000  0.000  0.002  0.000  0.000  0.044  0.475  0.341  0.861
   0.971   -14.604  0.000  0.000  0.000  0.002  0.000  0.000  0.045  0.474  0.341  0.861
   0.982   -14.604  0.000  0.000  0.000  0.002  0.000  0.000  0.046  0.473  0.340  0.861
   0.992   -14.603  0.000  0.000  0.000  0.002  0.000  0.000  0.048  0.473  0.340  0.862
   1.002   -14.602  0.000  0.000  0.000  0.002  0.000  0.000  0.048  0.473  0.339  0.862
   1.013   -14.601  0.000  0.000  0.000  0.002  0.000  0.000  0.050  0.472  0.339  0.862
   1.023   -14.600  0.000  0.000  0.000  0.002  0.000  0.000  0.052  0.471  0.339  0.863
   1.033   -14.599  0.000  0.000  0.000  0.002  0.000  0.000  0.054  0.471  0.338  0.863
   1.044   -14.598  0.000  0.000  0.000  0.001  0.000  0.000  0.056  0.469  0.337  0.863
   1.054   -14.596  0.000  0.000  0.000  0.000  0.000  0.000  0.058  0.469  0.337  0.864
   1.064   -14.595  0.000  0.000  0.000  0.000  0.000  0.000  0.060  0.467  0.336  0.864
   1.075   -14.594  0.000  0.000  0.000  0.000  0.000  0.000  0.062  0.466  0.335  0.865
   1.085   -14.592  0.000  0.000  0.000  0.000  0.000  0.000  0.064  0.465  0.334  0.865
   1.095   -14.591  0.000  0.000  0.000  0.000  0.000  0.000  0.068  0.463  0.333  0.866
   1.106   -14.589  0.000  0.000  0.000  0.000  0.000  0.000  0.072  0.461  0.332  0.867
   1.116   -14.587  0.000  0.000  0.000  0.000  0.000  0.000  0.074  0.460  0.331  0.867
   1.126   -14.586  0.000  0.000  0.000  0.000  0.000  0.000  0.078  0.458  0.329  0.868
   1.137   -14.584  0.000  0.000  0.000  0.000  0.000  0.000  0.082  0.456  0.328  0.869
   1.147   -14.582  0.000  0.000  0.000  0.000  0.000  0.000  0.088  0.453  0.327  0.869
   1.157   -14.580  0.000  0.000  0.000  0.000  0.000  0.000  0.092  0.451  0.325  0.870
   1.168   -14.578  0.000  0.000  0.000  0.000  0.000  0.000  0.098  0.449  0.323  0.871
   1.178   -14.576  0.000  0.000  0.000  0.000  0.000  0.000  0.104  0.445  0.321  0.872
   1.189   -14.574  0.000  0.000  0.000  0.000  0.000  0.000  0.110  0.443  0.319  0.873
   1.199   -14.572  0.000  0.000  0.000  0.000  0.000  0.000  0.117  0.439  0.317  0.874
   1.209   -14.570  0.000  0.000  0.000  0.000  0.000  0.000  0.124  0.435  0.313  0.875
   1.220   -14.567  0.000  0.000  0.000  0.000  0.000  0.000  0.132  0.431  0.311  0.876
   1.230   -14.565  0.000  0.000  0.000  0.000  0.000  0.000  0.142  0.427  0.307  0.878
   1.240   -14.563  0.000  0.000  0.000  0.000  0.000  0.000  0.151  0.421  0.305  0.879
   1.251   -14.561  0.000  0.000  0.000  0.000  0.000  0.000  0.162  0.415  0.301  0.880
   1.261   -14.558  0.000  0.000  0.000  0.000  0.000  0.000  0.173  0.411  0.297  0.882
   1.271   -14.556  0.000  0.000  0.000  0.000  0.000  0.000  0.185  0.403  0.293  0.883
   1.282   -14.554  0.000  0.000  0.000  0.000  0.000  0.000  0.198  0.397  0.287  0.885
   1.292   -14.551  0.000  0.000  0.000  0.000  0.000  0.000  0.213  0.389  0.283  0.886
   1.302   -14.549  0.000  0.000  0.002  0.000  0.000  0.000  0.228  0.381  0.277  0.888
   1.313   -14.547  0.000  0.000  0.002  0.000  0.000  0.000  0.245  0.372  0.271  0.890
   1.323   -14.545  0.000  0.000  0.002  0.000  0.000  0.000  0.263  0.363  0.265  0.892
   1.333   -14.542  0.000  0.000  0.002  0.000  0.000  0.000  0.282  0.353  0.257  0.894
   1.344   -14.540  0.000  0.000  0.002  0.000  0.000  0.000  0.302  0.341  0.251  0.896
   1.354   -14.538  0.000  0.000  0.002  0.000  0.000  0.000  0.324  0.330  0.243  0.898
   1.365   -14.536  0.000  0.000  0.002  0.000  0.000  0.000  0.347  0.318  0.234  0.901
   1.375   -14.534  0.000  0.000  0.002  0.000  0.000  0.000  0.371  0.305  0.225  0.904
   1.385   -14.532  0.000  0.000  0.002  0.000  0.000  0.000  0.396  0.292  0.216  0.906
   1.396   -14.530  0.000  0.000  0.002  0.000  0.000  0.000  0.422  0.278  0.207  0.908
   1.406   -14.528  0.000  0.000  0.002  0.000  0.000  0.000  0.448  0.264  0.197  0.911
   1.416   -14.527  0.000  0.000  0.002  0.000  0.000  0.000  0.475  0.250  0.187  0.914
   1.427   -14.525  0.000  0.000  0.002  0.000  0.000  0.000  0.502  0.235  0.177  0.916
   1.437   -14.523  0.000  0.000  0.002  0.000  0.000  0.000  0.530  0.221  0.166  0.919
   1.447   -14.522  0.000  0.000  0.002  0.000  0.000  0.000  0.557  0.206  0.156  0.921
   1.458   -14.521  0.000  0.000  0.002  0.000  0.000  0.000  0.583  0.192  0.146  0.924
   1.468   -14.519  0.000  0.000  0.002  0.000  0.000  0.000  0.609  0.178  0.136  0.927
   1.478   -14.518  0.000  0.000  0.002  0.000  0.000  0.000  0.635  0.165  0.126  0.929
   1.489   -14.517  0.000  0.000  0.002  0.000  0.000  0.000  0.659  0.152  0.117  0.931
   1.499   -14.516  0.000  0.000  0.002  0.000  0.000  0.000  0.682  0.140  0.108  0.933
   1.509   -14.515  0.000  0.000  0.002  0.000  0.000  0.000  0.704  0.129  0.100  0.935
   1.520   -14.515  0.000  0.000  0.002  0.000  0.000  0.000  0.725  0.118  0.092  0.937
   1.530   -14.514  0.000  0.000  0.002  0.000  0.000  0.000  0.744  0.108  0.084  0.939
   1.540   -14.513  0.000  0.000  0.002  0.000  0.000  0.000  0.762  0.098  0.078  0.941
   1.551   -14.513  0.000  0.000  0.002  0.000  0.000  0.000  0.779  0.090  0.071  0.943
   1.561   -14.512  0.000  0.000  0.002  0.000  0.000  0.000  0.795  0.082  0.064  0.943
   1.572   -14.512  0.000  0.000  0.002  0.000  0.000  0.000  0.809  0.074  0.059  0.945
   1.582   -14.512  0.000  0.000  0.002  0.000  0.000  0.000  0.823  0.068  0.054  0.947
   1.592   -14.511  0.000  0.000  0.002  0.000  0.000  0.000  0.835  0.062  0.049  0.947
   1.603   -14.511  0.000  0.000  0.002  0.000  0.000  0.000  0.847  0.056  0.044  0.949
   1.613   -14.511  0.000  0.000  0.002  0.000  0.000  0.000  0.857  0.050  0.040  0.950
   1.623   -14.511  0.000  0.000  0.002  0.000  0.000  0.000  0.867  0.046  0.036  0.951
   1.634   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.875  0.040  0.033  0.951
   1.644   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.883  0.036  0.030  0.953
   1.654   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.891  0.032  0.026  0.953
   1.665   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.898  0.030  0.024  0.954
   1.675   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.904  0.026  0.022  0.954
   1.685   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.910  0.024  0.020  0.955
   1.696   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.915  0.020  0.018  0.955
   1.706   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.920  0.018  0.016  0.956
   1.716   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.924  0.016  0.014  0.956
   1.727   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.928  0.014  0.012  0.957
   1.737   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.931  0.012  0.010  0.957
   1.748   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.935  0.010  0.010  0.957
   1.758   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.938  0.010  0.008  0.957
   1.768   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.941  0.008  0.006  0.958
   1.779   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.943  0.006  0.006  0.958
   1.789   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.945  0.006  0.004  0.958
   1.799   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.947  0.004  0.004  0.959
   1.810   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.949  0.004  0.004  0.959
   1.820   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.951  0.004  0.002  0.959
   1.830   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.952  0.002  0.002  0.959
   1.841   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.953  0.002  0.002  0.959
   1.851   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.954  0.002  0.002  0.959
   1.861   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.955  0.000  0.000  0.959
   1.872   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.956  0.000  0.000  0.959
   1.882   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
   1.892   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
   1.903   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
   1.913   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
   1.913   -14.510  0.000  0.000  0.002  0.000  0.000  0.000  0.957  0.000  0.000  0.959
