#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.556   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.565   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.574   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.583   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.592   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.601   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.610   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.619   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.628   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.637   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.646   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.655   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.664   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.673   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.682   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.691   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.700   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.709   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.718   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.727   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.736   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.745   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.754   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.763   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.772   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.781   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.790   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.799   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.808   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.817   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.826   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.835   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.843   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.852   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.861   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.870   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.879   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.888   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.888   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.899   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.909   -14.607  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.919   -14.607  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
