# Kpath    Energy-Level (in eV)
# Band    1
       0.80979      -6.89260
       0.78666      -6.72411
       0.76352      -6.55196
       0.74038      -6.37657
       0.71725      -6.19833
       0.69411      -6.01759
       0.67097      -5.83468
       0.64783      -5.64994
       0.62470      -5.46366
       0.60156      -5.27619
       0.57842      -5.08783
       0.55529      -4.89891
       0.53215      -4.70979
       0.50901      -4.52083
       0.48588      -4.33240
       0.46274      -4.14496
       0.43960      -3.95893
       0.41646      -3.77482
       0.39333      -3.72538
       0.37019      -3.78170
       0.34705      -3.83473
       0.32392      -3.88444
       0.30078      -3.93080
       0.27764      -3.97379
       0.25451      -4.01341
       0.23137      -4.04963
       0.20823      -4.08243
       0.18510      -4.11182
       0.16196      -4.13777
       0.13882      -4.16028
       0.11568      -4.17934
       0.09255      -4.19494
       0.06941      -4.20708
       0.04627      -4.21576
       0.02314      -4.22097
       0.00000      -4.22270
# Band    3
       0.00000      -1.66742
       0.02314      -1.67612
       0.04627      -1.70210
       0.06941      -1.74499
       0.09255      -1.80414
       0.11568      -1.87873
       0.13882      -1.96780
       0.16196      -2.07026
       0.18510      -2.18499
       0.20823      -2.31084
       0.23137      -2.44669
       0.25451      -2.59143
       0.27764      -2.74402
       0.30078      -2.90350
       0.32392      -3.06895
       0.34705      -3.23954
       0.37019      -3.41450
       0.39333      -3.59314
       0.41646      -3.66578
       0.43960      -3.60295
       0.46274      -3.53691
       0.48588      -3.46771
       0.50901      -3.39539
       0.53215      -3.32000
       0.55529      -3.24160
       0.57842      -3.16025
       0.60156      -3.07603
       0.62470      -3.01778
       0.64783      -3.07284
       0.67097      -3.12597
       0.69411      -3.17706
       0.71725      -3.22600
       0.74038      -3.27272
       0.76352      -3.31713
       0.78666      -3.35916
       0.80979      -3.39874
       0.83293      -3.43582
       0.85607      -3.47034
       0.87920      -3.50226
       0.90234      -3.53153
       0.92548      -3.55812
       0.94861      -3.58200
       0.97175      -3.60313
       0.99489      -3.62149
       1.01803      -3.63706
       1.04116      -3.64982
       1.06430      -3.65976
       1.08744      -3.66687
       1.11057      -3.67113
       1.13371      -3.67256
       1.13371      -3.67256
       1.14707      -3.67573
       1.16043      -3.68523
       1.17378      -3.70097
       1.18714      -3.72282
       1.20050      -3.75058
       1.21386      -3.78405
       1.22722      -3.82295
       1.24057      -3.86700
       1.25393      -3.91588
       1.26729      -3.96927
       1.28065      -4.02681
       1.29401      -4.08818
       1.30737      -4.15301
       1.32072      -4.22098
       1.33408      -4.29174
       1.34744      -4.36496
       1.36080      -4.44033
       1.37416      -4.51754
       1.38751      -4.59628
       1.40087      -4.67628
       1.41423      -4.75723
       1.42759      -4.83889
       1.44095      -4.92096
       1.45430      -5.00321
       1.46766      -5.08537
       1.48102      -5.16718
       1.49438      -5.24839
       1.50774      -5.32875
       1.52110      -5.40799
       1.53445      -5.48586
       1.54781      -5.56207
       1.56117      -5.63637
       1.57453      -5.70846
       1.58789      -5.77804
       1.60124      -5.84482
       1.61460      -5.90848
       1.62796      -5.96872
       1.64132      -6.02523
       1.65468      -6.07768
