# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   1.307   -10.875  0.065  0.028  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.169
   1.321   -10.863  0.064  0.028  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.168
   1.334   -10.851  0.063  0.029  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.168
   1.347   -10.838  0.062  0.029  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.167
   1.361   -10.824  0.061  0.030  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.167
   1.374   -10.810  0.060  0.030  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.166
   1.388   -10.795  0.059  0.031  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.166
   1.401   -10.779  0.057  0.032  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.165
   1.414   -10.762  0.056  0.032  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.165
   1.428   -10.745  0.054  0.033  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.164
   1.441   -10.727  0.053  0.034  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.163
   1.454   -10.709  0.051  0.035  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.162
   1.468   -10.690  0.049  0.036  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.162
   1.481   -10.671  0.048  0.037  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.161
   1.494   -10.651  0.046  0.038  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.160
   1.508   -10.631  0.044  0.039  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.159
   1.521   -10.611  0.042  0.040  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.158
   1.534   -10.590  0.039  0.041  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.157
   1.548   -10.569  0.037  0.042  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.156
   1.561   -10.548  0.035  0.043  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.155
   1.575   -10.527  0.032  0.044  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.154
   1.588   -10.506  0.030  0.046  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.153
   1.601   -10.486  0.028  0.047  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.151
   1.615   -10.465  0.025  0.049  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.150
   1.628   -10.445  0.022  0.050  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.149
   1.641   -10.426  0.020  0.052  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.148
   1.655   -10.407  0.017  0.053  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.146
   1.668   -10.389  0.015  0.055  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.145
   1.681   -10.372  0.012  0.056  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.144
   1.695   -10.356  0.010  0.058  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.142
   1.708   -10.342  0.007  0.060  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.141
   1.721   -10.329  0.005  0.061  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.140
   1.735   -10.319  0.004  0.063  0.000  0.073  0.000  0.000  0.000  0.000  0.000  0.139
   1.748   -10.310  0.002  0.064  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.139
   1.762   -10.303  0.001  0.066  0.000  0.071  0.000  0.000  0.000  0.000  0.000  0.138
   1.775   -10.299  0.000  0.067  0.000  0.070  0.000  0.000  0.000  0.000  0.000  0.138
   1.788   -10.298  0.000  0.069  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.138
   1.788   -10.298  0.000  0.069  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.138
   1.815   -10.304  0.001  0.071  0.000  0.066  0.000  0.000  0.000  0.000  0.000  0.138
   1.842   -10.322  0.004  0.073  0.000  0.062  0.000  0.000  0.000  0.000  0.000  0.140
   1.868   -10.355  0.010  0.074  0.000  0.059  0.000  0.000  0.000  0.000  0.000  0.143
   1.895   -10.401  0.018  0.074  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.147
   1.922   -10.461  0.028  0.074  0.000  0.050  0.000  0.000  0.000  0.000  0.000  0.152
   1.949   -10.533  0.038  0.073  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.157
   1.975   -10.615  0.049  0.071  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.162
   2.002   -10.707  0.061  0.069  0.000  0.039  0.000  0.000  0.000  0.000  0.000  0.168
   2.029   -10.807  0.072  0.066  0.000  0.035  0.000  0.000  0.000  0.000  0.000  0.173
   2.055   -10.912  0.082  0.064  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.178
   2.082   -11.022  0.092  0.061  0.000  0.029  0.000  0.000  0.000  0.000  0.000  0.182
   2.109   -11.135  0.101  0.058  0.000  0.027  0.000  0.000  0.000  0.000  0.000  0.186
   2.136   -11.251  0.110  0.055  0.000  0.025  0.000  0.000  0.000  0.000  0.000  0.189
   2.162   -11.368  0.118  0.052  0.000  0.023  0.000  0.000  0.000  0.000  0.000  0.192
   2.189   -11.485  0.125  0.049  0.000  0.021  0.000  0.000  0.000  0.000  0.000  0.195
   2.216   -11.602  0.132  0.046  0.000  0.019  0.000  0.000  0.000  0.000  0.000  0.197
   2.242   -11.718  0.138  0.044  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.199
   2.269   -11.833  0.144  0.041  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.201
   2.296   -11.947  0.149  0.038  0.000  0.015  0.000  0.000  0.000  0.000  0.000  0.202
   2.323   -12.058  0.154  0.036  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.204
   2.349   -12.167  0.159  0.034  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.205
   2.376   -12.274  0.163  0.031  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.206
   2.403   -12.377  0.167  0.029  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.207
   2.429   -12.478  0.171  0.027  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.207
   2.456   -12.576  0.175  0.025  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.208
   2.483   -12.670  0.178  0.023  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.209
   2.510   -12.761  0.181  0.021  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.209
   2.536   -12.848  0.184  0.019  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.209
   2.563   -12.932  0.187  0.017  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.210
