# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   1.307   -10.875  0.493  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.495
   1.321   -10.863  0.493  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.496
   1.334   -10.851  0.494  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.497
   1.347   -10.838  0.494  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.498
   1.361   -10.824  0.495  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.498
   1.374   -10.810  0.496  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.499
   1.388   -10.795  0.497  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.500
   1.401   -10.779  0.497  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.501
   1.414   -10.762  0.498  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.502
   1.428   -10.745  0.499  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.503
   1.441   -10.727  0.500  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.505
   1.454   -10.709  0.502  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.506
   1.468   -10.690  0.503  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.507
   1.481   -10.671  0.504  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.509
   1.494   -10.651  0.506  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.510
   1.508   -10.631  0.507  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.512
   1.521   -10.611  0.509  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.513
   1.534   -10.590  0.510  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.515
   1.548   -10.569  0.512  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.517
   1.561   -10.548  0.514  0.003  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.519
   1.575   -10.527  0.516  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.520
   1.588   -10.506  0.518  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.522
   1.601   -10.486  0.520  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.524
   1.615   -10.465  0.523  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.526
   1.628   -10.445  0.525  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.528
   1.641   -10.426  0.527  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.530
   1.655   -10.407  0.530  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.532
   1.668   -10.389  0.532  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.535
   1.681   -10.372  0.534  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.537
   1.695   -10.356  0.537  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.538
   1.708   -10.342  0.539  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.540
   1.721   -10.329  0.541  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.542
   1.735   -10.319  0.543  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.543
   1.748   -10.310  0.544  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.545
   1.762   -10.303  0.545  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.545
   1.775   -10.299  0.546  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.546
   1.788   -10.298  0.546  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.546
   1.788   -10.298  0.546  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.546
   1.815   -10.304  0.545  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.545
   1.842   -10.322  0.541  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.543
   1.868   -10.355  0.535  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.538
   1.895   -10.401  0.527  0.003  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.531
   1.922   -10.461  0.516  0.005  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.523
   1.949   -10.533  0.505  0.007  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.515
   1.975   -10.615  0.493  0.009  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.505
   2.002   -10.707  0.481  0.011  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.496
   2.029   -10.807  0.470  0.013  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.487
   2.055   -10.912  0.459  0.014  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.478
   2.082   -11.022  0.449  0.015  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.470
   2.109   -11.135  0.440  0.016  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.463
