#K-Path     Energy-Level
#Band-index    1
  2.539      -16.4921
  2.529      -16.4923
  2.519      -16.4924
  2.509      -16.4926
  2.499      -16.4928
  2.488      -16.4930
  2.478      -16.4932
  2.468      -16.4935
  2.458      -16.4937
  2.448      -16.4939
  2.437      -16.4941
  2.427      -16.4944
  2.417      -16.4946
  2.407      -16.4949
  2.396      -16.4951
  2.386      -16.4954
  2.376      -16.4956
  2.366      -16.4959
  2.356      -16.4961
  2.345      -16.4964
  2.335      -16.4967
  2.325      -16.4969
  2.315      -16.4972
  2.304      -16.4975
  2.294      -16.4977
  2.284      -16.4980
  2.274      -16.4983
  2.264      -16.4985
  2.253      -16.4988
  2.243      -16.4991
  2.233      -16.4993
  2.223      -16.4996
  2.212      -16.4998
  2.202      -16.5001
  2.192      -16.5003
  2.182      -16.5006
  2.172      -16.5008
  2.161      -16.5010
  2.151      -16.5013
  2.141      -16.5015
  2.131      -16.5017
  2.120      -16.5019
  2.110      -16.5021
  2.100      -16.5023
  2.090      -16.5025
  2.080      -16.5027
  2.069      -16.5029
  2.059      -16.5030
  2.049      -16.5032
  2.039      -16.5033
  2.028      -16.5035
  2.018      -16.5036
  2.008      -16.5038
  1.998      -16.5039
  1.988      -16.5040
  1.977      -16.5041
  1.967      -16.5042
  1.957      -16.5043
  1.947      -16.5043
  1.936      -16.5044
  1.926      -16.5045
  1.916      -16.5045
  1.906      -16.5045
  1.896      -16.5046
  1.885      -16.5046
  1.875      -16.5046
  1.875      -16.5046
  1.865      -16.5046
  1.855      -16.5046
  1.845      -16.5045
  1.834      -16.5045
  1.824      -16.5045
  1.814      -16.5045
  1.804      -16.5045
  1.794      -16.5044
  1.783      -16.5044
  1.773      -16.5043
  1.763      -16.5043
  1.753      -16.5042
  1.743      -16.5042
  1.733      -16.5041
  1.722      -16.5040
  1.712      -16.5040
  1.702      -16.5039
  1.692      -16.5038
  1.682      -16.5037
  1.671      -16.5037
  1.661      -16.5036
  1.651      -16.5035
  1.641      -16.5034
  1.631      -16.5033
  1.620      -16.5032
  1.610      -16.5031
  1.600      -16.5030
  1.590      -16.5029
  1.580      -16.5028
  1.570      -16.5027
  1.559      -16.5026
  1.549      -16.5025
  1.539      -16.5024
  1.529      -16.5023
  1.519      -16.5022
  1.508      -16.5021
  1.498      -16.5020
  1.488      -16.5019
  1.478      -16.5017
  1.468      -16.5016
  1.457      -16.5015
  1.447      -16.5014
  1.437      -16.5013
  1.427      -16.5012
  1.417      -16.5012
  1.407      -16.5011
  1.396      -16.5010
  1.386      -16.5009
  1.376      -16.5008
  1.366      -16.5007
  1.356      -16.5007
  1.345      -16.5006
  1.335      -16.5005
  1.325      -16.5005
  1.315      -16.5004
  1.305      -16.5003
  1.295      -16.5003
  1.284      -16.5002
  1.274      -16.5002
  1.264      -16.5001
  1.254      -16.5001
  1.244      -16.5001
  1.233      -16.5001
  1.223      -16.5000
  1.213      -16.5000
  1.203      -16.5000
  1.193      -16.5000
  1.182      -16.5000
  1.182      -16.5000
  1.172      -16.5000
  1.162      -16.5000
  1.151      -16.4999
  1.141      -16.4998
  1.130      -16.4997
  1.120      -16.4996
  1.110      -16.4995
  1.099      -16.4993
  1.089      -16.4992
  1.078      -16.4990
  1.068      -16.4988
  1.057      -16.4985
  1.047      -16.4983
  1.037      -16.4980
  1.026      -16.4978
  1.016      -16.4975
  1.005      -16.4972
  0.995      -16.4969
  0.984      -16.4967
  0.974      -16.4963
  0.964      -16.4960
  0.953      -16.4957
  0.943      -16.4954
  0.932      -16.4951
  0.922      -16.4948
  0.912      -16.4945
  0.901      -16.4942
  0.891      -16.4939
  0.880      -16.4936
  0.870      -16.4933
  0.859      -16.4930
  0.849      -16.4927
  0.839      -16.4924
  0.828      -16.4922
  0.818      -16.4920
  0.807      -16.4917
  0.797      -16.4915
  0.786      -16.4913
  0.776      -16.4912
  0.766      -16.4910
  0.755      -16.4909
  0.745      -16.4908
  0.734      -16.4907
  0.724      -16.4906
  0.714      -16.4906
  0.703      -16.4905
  0.693      -16.4905
